anio,mes,ciclo_laboral,day,dia_label,fin_de_semana,principo_mes,fin_de_mes,hora,noche,horario_bancario,delito_tipo,delito_subtipo,uso_arma,calle,cajeros_a_100,cajeros_a_200,banco,red,bancos_a_100,bancos_a_200,comisarias_a_100,comisarias_a_200,precio_m2_usd,densidad_pob,pct_hogares_nbi,barrio,comuna
2016,AGOSTO,Ciclo laboral,16,MARTES,no,no,no,18,si,no,Robo,Robo total,SI,CALLE,no,no,BANCO DE LA NACION ARGENTINA,LINK,no,no,no,no,2737,12029.959612071378,0.006269592476489028,VILLA DEVOTO,11
2016,AGOSTO,Ciclo laboral,28,DOMINGO,si,no,si,16,no,no,Robo,Robo total,NO,AVENIDA,no,no,BANCO DE LA NACION ARGENTINA,LINK,no,no,no,no,2737,3584.6501596831276,0.004132231404958678,VILLA DEVOTO,11
2016,AGOSTO,Ciclo laboral,26,VIERNES,no,no,si,12,no,si,Robo,Robo total,SI,CALLE,no,no,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,no,no,no,no,1927,12379.178836155226,0.003401360544217687,VILLA REAL,10
2016,AGOSTO,Ciclo laboral,12,VIERNES,no,no,no,15,no,si,Robo,Robo total,NO,AVENIDA,no,no,Banco Santander Río,BANELCO,si,si,no,no,1927,12379.178836155226,0.003401360544217687,VILLA REAL,10
2016,AGOSTO,Ciclo laboral,4,JUEVES,no,si,no,12,no,si,Robo,Robo total,NO,CALLE,no,no,BANCO DE LA NACION ARGENTINA,LINK,no,no,no,no,1927,9330.685757391493,0.014164305949008499,VILLA REAL,10
2016,AGOSTO,Ciclo laboral,6,SABADO,si,si,no,22,si,no,Robo,Robo total,SI,CALLE,no,no,Banco Santander Río,BANELCO,no,no,no,no,2737,12363.967298865968,0.0032679738562091504,VILLA DEVOTO,11
2016,AGOSTO,Ciclo laboral,29,LUNES,no,no,si,12,no,si,Robo,Robo total,NO,CALLE,no,no,CABAL COOP. LTDA.,LINK,no,no,no,no,1761,6014.462262918952,0.003472222222222222,VERSALLES,10
2016,AGOSTO,Ciclo laboral,7,DOMINGO,si,si,no,20,si,no,Robo,Robo total,NO,CALLE,no,no,HSBC Bank Argentina,BANELCO,no,no,no,no,2737,13445.573936474533,0.011904761904761904,VILLA DEVOTO,11
2016,AGOSTO,Ciclo laboral,11,JUEVES,no,no,no,19,si,no,Robo,Robo total,NO,CALLE,no,no,CABAL COOP. LTDA.,LINK,no,no,no,no,1761,11284.657645535814,0.0034965034965034965,VERSALLES,10
2016,AGOSTO,Ciclo laboral,24,MIERCOLES,no,no,si,19,si,no,Robo,Robo total,NO,CALLE,no,no,Banco Santander Río,BANELCO,no,no,no,no,2737,6951.089042922419,0.004524886877828055,VILLA DEVOTO,11
2016,AGOSTO,Ciclo laboral,1,LUNES,no,si,no,9,no,no,Robo,Robo total,SI,CALLE,no,no,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,no,no,no,no,2080,12586.4309795446,0.010273972602739725,MONTE CASTRO,10
2016,AGOSTO,Ciclo laboral,19,VIERNES,no,no,no,3,si,no,Robo,Robo total,SI,CALLE,no,no,HSBC Bank Argentina,BANELCO,no,no,no,no,2737,11213.411039368166,0.02214022140221402,VILLA DEVOTO,11
2016,AGOSTO,Ciclo laboral,12,VIERNES,no,no,no,18,si,no,Robo,Robo total,NO,CALLE,no,no,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,no,no,no,no,2080,15015.180144754015,0.01509433962264151,MONTE CASTRO,10
2016,SEPTIEMBRE,Ciclo laboral,24,SABADO,si,no,si,21,si,no,Robo,Robo total,SI,CALLE,no,no,Banco Patagonia,BANELCO,no,no,no,no,1927,7225.493978841236,0.04040404040404041,VILLA REAL,10
2016,AGOSTO,Ciclo laboral,2,MARTES,no,si,no,17,no,si,Robo,Robo total,NO,CALLE,no,no,BANCO DE LA NACION ARGENTINA,LINK,no,no,no,no,2080,15378.410405129753,0.013513513513513514,MONTE CASTRO,10
2016,SEPTIEMBRE,Ciclo laboral,12,LUNES,no,no,no,15,no,si,Robo,Robo total,NO,CALLE,no,no,Banco Santander Río,BANELCO,no,no,no,no,2737,14552.318673596623,0.026490066225165563,VILLA DEVOTO,11
2016,SEPTIEMBRE,Ciclo laboral,29,JUEVES,no,no,si,12,no,si,Robo,Robo automotor,SI,CALLE,si,si,Banco Itaú,BANELCO,si,si,no,no,2030,7178.2409997635505,0.010238907849829351,MATADEROS,9
2016,SEPTIEMBRE,Ciclo laboral,29,JUEVES,no,no,si,13,no,si,Robo,Robo total,SI,CALLE,no,no,BANCO DE LA NACION ARGENTINA,LINK,no,no,no,no,2080,11933.8702461779,0.01486988847583643,MONTE CASTRO,10
2016,OCTUBRE,Ciclo laboral,20,JUEVES,no,no,no,15,no,si,Robo,Robo total,SI,CALLE,no,no,CitiBank,BANELCO,no,no,no,no,2173,12155.154183275416,0,LINIERS,9
2016,OCTUBRE,Ciclo laboral,20,JUEVES,no,no,no,20,si,no,Robo,Robo total,SI,CALLE,no,si,CitiBank,BANELCO,no,si,no,no,2173,11734.068609608536,0.028925619834710745,LINIERS,9
